,PSR name,J-Name,P (s),B (G),NF (%),References
96,J1843-0211,J1843-0211,2.0275,5.48E+12,6±2,Wang et al. (2007)
97,B1842+14,J1844+1454,0.3755,8.48E+11,≤0.15,Weisberg et al. (1986)
98,B1844-04,J1847-0402,0.5978,5.63E+12,3±1,Naidu et al. (2017)
99,B1845-19,J1848-1952,4.3082,1.01E+13,27±6,Naidu et al. (2017)
100,B1848+12,J1851+1259,1.2053,3.77E+12,≤54,Redman and Rankin (2009)
101,J1853+0505,J1853+0505,0.9051,1.09E+12,67±8,Young et al. (2015)
102,B1857-26,J1900-2600,0.6122,3.58E+11,10±2.5,Ritchings (1976)
103,J1901+0413,J1901+0413,2.6631,1.89E+13,≤6,Gajjar (2017)
104,J1901-0906,J1901-0906,1.7819,1.73E+12,29±4,Naidu et al. (2017)
,J1901-0906,J1901-0906,1.7819,1.73E+12,2.9,Basu et al. (2017)
,J1901-0906,J1901-0906,1.7819,1.73E+12,5.6±0.7,Basu et al. (2017)
105,B1907+03,J1910+0358,2.3303,3.27E+12,4±0.2,Weisberg et al. (1986)
106,B1911-04,J1913-0440,0.8259,1.85E+12,≤0.5,Ritchings (1976)
107,J1916+1023,J1916+1023,1.6183,1.06E+12,47±4,Wang et al. (2007)
108,B1917+00,J1919+0021,1.2723,3.16E+12,≤0.4,Rankin (1986)
109,J1920+1040,J1920+1040,2.2158,3.83E+12,50±4,Wang et al. (2007)
110,B1918+19,J1921+1948,0.821,8.68E+11,26±17,Rankin et al. (2013)
111,B1919+21,J1921+2153,1.3373,1.36E+12,≤0.25,Ritchings (1976)
112,J1926-1314,J1926-1314,4.8643,1.35E+13,75.7±1.9,Rosen et al. (2013)
113,B1923+04,J1926+0431,1.0741,1.64E+12,≤5,Weisberg et al. (1986)
114,B1929+10,J1932+1059,0.2265,5.18E+11,≤1,Ritchings (1976)
115,B1933+16,J1935+1616,0.3587,1.48E+12,≤0.06,Biggs (1992)
116,B1942+17,J1944+1755,1.9969,1.22E+12,≤60,Lorimer et al. (2002)
117,B1942-00,J1945-0040,1.0456,7.57E+11,21±1,Weisberg et al. (1986)
118,B1944+17,J1946+1805,0.4406,1.04E+11,55±5,Yang et al. (2014)
,B1944+18,J1946+1806,0.4406,1.04E+11,64±32,Ritchings (1976)
119,B1946+35,J1948+3540,0.7173,2.28E+12,≤0.75,Ritchings (1976)
120,B2003-08,J2006-0807,0.5809,1.65E+11,15.5±1,Basu et al. (2017)
121,B2016+28,J2018+2839,0.558,2.91E+11,1±3,Naidu et al. (2017)
122,B2020+28,J2022+2854,0.3434,8.16E+11,0.2±1.6,Gajjar (2017)
123,B2021+51,J2022+5154,0.5292,1.29E+12,1.4±0.7,Gajjar (2017)
124,J2033+0042,J2033+0042,5.0134,7.21E+12,51±7,Lynch et al. (2013)
125,B2034+19,J2037+1942,2.0744,2.08E+12,44±4,Herfindal and Rankin (2009)
126,B2044+15,J2046+1540,1.1383,4.61E+11,≤0.04,Weisberg et al. (1986)
127,B2045-16,J2048-1616,1.9616,4.69E+12,22±5,Naidu et al. (2017)
,B2045-17,J2048-1617,1.9616,4.69E+12,5.5±0.2,Basu and Mitra (2018)
128,B2053+36,J2055+3630,0.2215,2.89E+11,≤0.7,Weisberg et al. (1986)
129,B2110+27,J2113+2754,1.2028,1.78E+12,≤30,Redman and Rankin (2009)
130,B2111+46,J2113+4644,1.0147,8.62E+11,21±4,Gajjar (2017)
131,B2113+14,J2116+1414,0.4402,3.61E+11,≤1,Weisberg et al. (1986)
132,B2122+13,J2124+1407,0.6941,7.39E+11,≤22,Redman and Rankin (2009)
133,B2154+40,J2157+4017,1.5253,2.32E+12,7.5±2.5,Ritchings (1976)
134,J2208+5500,J2208+5500,0.9332,2.58E+12,≤7.5,Joshi et al. (2009)
135,B2217+47,J2219+4754,0.5385,1.23E+12,≤2,Ritchings (1976)
136,J2253+1516,J2253+1516,0.7922,2.32E+11,≤49,Redman and Rankin (2009)
137,B2303+30,J2305+3100,1.5759,2.16E+12,1,Rankin (1986)
138,B2310+42,J2313+4253,0.3494,2.01E+11,≤11,Redman and Rankin (2009)
139,B2315+21,J2317+2149,1.4447,1.24E+12,3±0.5,Weisberg et al. (1986)
140,B2319+60,J2321+6024,2.2565,4.03E+12,29±1,Gajjar (2017)
141,B2327-20,J2330-2005,1.6436,2.79E+12,12±1,Biggs (1992)
142,J2346-0609,J2346-0609,1.1815,1.28E+12,42.5±3.8,Basu et al. (2017)
,J2346-0609,J2346-0609,1.1815,1.28E+12,28.7±1.8,Basu et al. (2017)
